# argv: /bin/df -h
# exit: 0
# at:   2026-08-24T12:51:22.023Z
#
Filesystem        Size    Used   Avail Capacity iused ifree %iused  Mounted on
/dev/disk3s1s1   7.3Ti    12Gi   1.8Ti     1%    459k  4.3G    0%   /
devfs            230Ki   230Ki     0Bi   100%     796     0  100%   /dev
/dev/disk3s6     7.3Ti   6.0Gi   1.8Ti     1%       1   20G    0%   /System/Volumes/VM
/dev/disk3s2     7.3Ti   8.4Gi   1.8Ti     1%    1.5k   20G    0%   /System/Volumes/Preboot
/dev/disk3s4     7.3Ti   7.0Mi   1.8Ti     1%     110   20G    0%   /System/Volumes/Update
/dev/disk1s2     500Mi   6.0Mi   481Mi     2%       1  4.9M    0%   /System/Volumes/xarts
/dev/disk1s1     500Mi   5.6Mi   481Mi     2%      35  4.9M    0%   /System/Volumes/iSCPreboot
/dev/disk1s3     500Mi   2.9Mi   481Mi     1%      65  4.9M    0%   /System/Volumes/Hardware
/dev/disk3s5     7.3Ti   5.4Ti   1.8Ti    75%     45M   20G    0%   /System/Volumes/Data
map auto_home      0Bi     0Bi     0Bi   100%       0     0     -   /System/Volumes/Data/home
/dev/disk3s7     7.3Ti   5.6Gi   1.8Ti     1%    893k   20G    0%   /nix
/dev/disk5s1     111Mi    92Mi    19Mi    84%     172  191k    0%   /Volumes/Shibacoin Core
/dev/disk8s1      15Gi    14Gi   480Mi    97%    184k  4.9M    4%   /Library/Developer/CoreSimulator/Volumes/xrOS_21N305
/dev/disk10s1    9.5Gi   9.2Gi   279Mi    98%    332k  2.9M   10%   /Library/Developer/CoreSimulator/Volumes/watchOS_21S364
/dev/disk12s1    8.5Gi   8.2Gi   257Mi    98%    216k  2.6M    8%   /Library/Developer/CoreSimulator/Volumes/tvOS_21K364
/dev/disk14s1     16Gi    16Gi   467Mi    98%    507k  4.8M   10%   /Library/Developer/CoreSimulator/Volumes/iOS_21C62
