# argv: /bin/ps -Ao pid,ppid,rss,%cpu,state,comm
# exit: 0
# at:   2026-08-24T12:51:22.075Z
#
  PID  PPID    RSS  %CPU STAT COMM
    1     0  34736   0.4 Ss   /sbin/launchd
  351     1  96400   0.5 Ss   /usr/libexec/logd
  352     1  12016   0.0 Ss   /usr/libexec/smd
  353     1  25344   0.1 Ss   /usr/libexec/UserEventAgent
  355     1  17008   0.1 Ss   /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/FSEvents.framework/Versions/A/Support/fseventsd
  356     1  21344   0.0 Ss   /System/Library/PrivateFrameworks/MediaRemote.framework/Support/mediaremoted
  359     1  15440   0.0 Ss   /usr/sbin/systemstats
  361     1  18976   0.0 Ss   /System/Library/PrivateFrameworks/MobileAccessoryUpdater.framework/Support/accessoryupdaterd
  362     1   7792   0.0 Ss   /usr/libexec/uarpassetmanagerd
  363     1  15504   0.0 Ss   /usr/libexec/configd
  364     1  14720   0.0 Ss   endpointsecurityd
  365     1  11440   0.1 Ss   /System/Library/CoreServices/powerd.bundle/powerd
  366     1   4336   0.0 Ss   /usr/libexec/IOMFB_bics_daemon
  368     1 131248   0.0 Ss   /usr/libexec/amfid
  370     1   7184   0.0 Ss   /usr/libexec/remoted
  372     1   5008   0.0 Ss   /usr/libexec/keybagd
  373     1  13584   0.0 Ss   /System/Library/PrivateFrameworks/MobileSoftwareUpdate.framework/Support/softwareupdated
  374     1   4368   0.0 Ss   /System/Library/PrivateFrameworks/CoreSpeech.framework/corespeechd_system
  376     1   4880   0.0 Ss   /usr/libexec/watchdogd
  380     1 113872 165.3 Ss   /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/mds
  381     1  11216   0.0 Ss   /System/Library/CoreServices/iconservicesd
  382     1  28928   0.0 Ss   /usr/libexec/kernelmanagerd
  383     1   8640   0.0 Ss   /usr/libexec/diskarbitrationd
  386     1  48896   0.0 Ss   /usr/libexec/coreduetd
  387     1   3264   0.0 Ss   /usr/sbin/syslogd
  389     1   6080   0.0 Ss   /usr/libexec/thermalmonitord
  390     1  21568  23.2 Rs   /System/Library/PrivateFrameworks/CoreDuetContext.framework/Resources/contextstored
  391     1   7312   0.0 Ss   /usr/libexec/xprotectd
  392     1  31696   0.0 Ss   /usr/libexec/opendirectoryd
  393     1  80112   1.5 Ss   /System/Library/PrivateFrameworks/ApplePushService.framework/apsd
  394     1  19184   0.0 Ss   /System/Library/CoreServices/launchservicesd
  395     1   8560   0.0 Ss   /usr/libexec/timed
  396     1  11184   0.0 Ss   /System/Library/PrivateFrameworks/MobileDevice.framework/Versions/A/Resources/usbmuxd
  397     1  17840   0.0 Ss   /usr/sbin/securityd
