# Golden vector: Zeta.Core.Cl3.gp — 200 random Cl(3,0) geometric products.
#
# GENERATED BY THE F# MODULE (src/Core/Cl3.fs), consumed by the TypeScript
# geometricProduct in ../conformal-embedding-and-curvature-budget.ts. Agreement is
# therefore evidence, not self-consistency.
#
#   dotnet build src/Core/Core.fsproj -c Release
#   dotnet fsi src/Core.TypeScript/research/testdata/dump-cl3-products.fsx
#
# Cl3.fs is NOT self-contained under dotnet fsi (AlgebraInterfaces -> IGroup -> ...),
# so the generator takes a project reference to the built DLL rather than #load.
#
# Inputs are a deterministic LCG seeded from COMMON_SEED=4 — no ambient entropy.
# Format: a|b|a*b, each an 8-tuple in Mv MASK order [S,E1,E2,E12,E3,E13,E23,E123].
-4.722684666048735,3.6875153379514813,1.6008154745213687,0.566268227994442,2.3510312498547137,-4.3138906778767705,1.6996282688342035,-4.508469337597489|4.346147563774139,3.644400523044169,-3.9347570133395493,0.40916772559285164,2.953717189375311,-2.1057633915916085,-4.984216077718884,3.8631356973201036|10.131171504851277,-40.89637607880174,34.55199452293459,-49.12954334982797,2.5909276632655533,-33.92190604648437,42.146835177086004,-60.99270249937184
-4.503531239461154,0.9208999993279576,-1.6210802574642003,2.519758716225624,-2.923366220202297,-0.7112329499796033,-3.0487859272398055,0.5494426470249891|-2.754741858225316,3.4087641024962068,3.7133354577235878,-2.6029391773045063,-3.9632519683800638,3.1163704162463546,3.3948766975663602,0.6597616616636515|39.87461411218077,-0.6759119009196182,0.006822923294384831,2.533721192507755,36.78156209549152,-6.112373693033964,6.869163387321864,-6.435241127986021
1.7124001984484494,4.528917972929776,-3.5174664412625134,-1.7090518400073051,0.05666660377755761,1.1509381560608745,1.2653928599320352,1.849179258570075|2.5699034449644387,-0.30369469430297613,-4.988920066971332,0.01074308529496193,-1.598645446356386,-1.4040728518739343,2.8665154590271413,-0.9353479277342558|20.21978321703818,13.80545016375993,-23.91121250524398,-36.121418172226406,-13.98964212842784,-5.646724624705378,6.881477341894255,19.284378495017577
2.366119169164449,4.659732100553811,0.5770316789858043,4.608809947967529,-1.1101459129713476,0.8617034507915378,4.6175979799591005,-3.8338993955403566|-0.7750398176722229,-4.283289588056505,0.8299058559350669,3.9391488395631313,-3.2179966918192804,2.2178860520944,0.15906324377283454,4.422502974048257|-21.586497771073528,-32.316676865938334,20.23758205277942,29.61930987539134,-1.7486385418277433,-31.996612918184546,26.063914137218745,-26.800811898228176
2.92011956917122,1.8033020989969373,-2.416351765859872,-0.9090106561779976,3.0401549697853625,-3.6793093802407384,-2.1671278425492346,-2.117011332884431|0.3242894378490746,-1.541037424467504,-1.015397955197841,-3.302615713328123,1.965895222965628,-1.3847267488017678,2.537992463912815,-4.3770677130669355|-5.264906127619819,-18.108554793473207,-4.045282244568984,-20.623420350569646,-20.744150685308753,-19.1970302180091,11.306969437164163,-24.46112667989734
0.23337966995313764,3.6663845600560308,-3.9455232699401677,2.118803486227989,-1.7882376327179372,0.613074223510921,1.9608674920164049,0.8650473039597273|-2.434263329487294,-4.433658174239099,3.6083166929893196,-0.49827249720692635,3.167965600732714,-3.9558382565155625,-2.8191150934435427,-3.024520194157958|-25.10014807656429,-1.042732461373388,13.908212649429469,-7.417184096227621,4.1937638063063165,-18.77983453939163,-18.326158601965787,-32.0580823491818
-3.0636378820054233,2.047532950527966,-4.452529952395707,-1.2877586111426353,0.7241037697531283,-1.115424302406609,-2.349154541734606,0.3349022474139929|-4.3938682856969535,2.2114250669255853,4.527557368855923,-0.8553715609014034,2.4058841192163527,3.258671401999891,0.5524317338131368,0.0846072006970644|3.3749135419453067,-30.440017289360156,1.7345660394751603,21.223623133206754,7.158172640256755,-5.61790765525656,0.7030640324373731,10.047324527820107
-4.193986065220088,-0.2879023877903819,-3.998559557367116,0.4049639403820038,1.886841042432934,-4.783536647446454,4.526676905807108,4.747601104900241|-3.563711221795529,-2.028913921676576,-3.3628089842386544,-0.13029107823967934,-1.1249451688490808,-3.614031025208533,-2.2205665172077715,-4.275301983579993|39.968212582433694,49.74803798561851,31.603112429375035,-48.430626258383484,15.780282270826154,34.91721373887756,-2.2902979253400826,-38.771892874084884
4.140766516793519,-2.732774238102138,-2.888940453995019,-2.8806960955262184,2.374870425555855,-0.49944762606173754,0.561842059250921,-2.3343866411596537|3.7560064462013543,3.7014955142512918,-0.7245560479350388,-4.753237348049879,3.3236161642707884,-4.198731915093958,2.025800065603107,-4.284942327067256|-11.50681960604747,8.866050627627429,18.799214508595178,-37.11054206201958,7.120396614805436,-54.37064475855738,-4.03457418495288,-63.32173054928283
-1.8644643644802272,0.03686149138957262,-2.2981416364200413,-0.9587340801954269,-3.3966774656437337,4.314204822294414,1.454430518206209,-0.3661696333438158|-2.6509323227219284,-1.586879095993936,-4.401098128873855,0.04675520583987236,2.4274409213103354,3.002829230390489,3.867550769355148,4.794913465157151|-10.026139603652522,22.302325937793086,49.032297586360535,-30.848367591217492,13.562374466471997,-16.704083614966347,-27.755780495957723,13.267386892943714
