# Golden vector: Zeta.Core.CliffordPeriodicity over the signatures below.
#
# GENERATED BY THE F# MODULE ITSELF, not by the TypeScript transcription that
# consumes it -- that is the whole point. Regenerate with:
#
#   dotnet fsi src/Core.TypeScript/research/testdata/dump-clifford-grid.fsx
#
# Text, not binary, per .claude/rules/no-binary-in-proof-lineage.md: every byte
# of this file is diffable and mergeable.
#
# TWO ROW KINDS:
#   ND p q s ground matrixDim isSplit
#      classify p q -- the Atiyah-Bott-Shapiro clock, 0 <= p,q <= 12.
#
#   DG p q r dim radical qGround qMatrixDim qIsSplit
#      classifyDegenerate p q r, 0 <= p,q <= 6, 0 <= r <= 4. The clock is
#      INAPPLICABLE to r > 0 (not semisimple), so these rows carry the total
#      dimension, the Jacobson radical, and the semisimple quotient instead.
#      The PGA(3D) row is 'DG 3 0 1 16 8 C 2 False' -- 16 is GATr's published
#      multivector dimension, predicted here rather than fitted.
ND 0 0 0 R 1 False
ND 0 1 7 C 1 False
ND 0 2 6 H 1 False
ND 0 3 5 H 1 True
ND 0 4 4 H 2 False
ND 0 5 3 C 4 False
ND 0 6 2 R 8 False
ND 0 7 1 R 8 True
ND 0 8 0 R 16 False
ND 0 9 7 C 16 False
ND 0 10 6 H 16 False
ND 0 11 5 H 16 True
ND 0 12 4 H 32 False
ND 1 0 1 R 1 True
ND 1 1 0 R 2 False
ND 1 2 7 C 2 False
ND 1 3 6 H 2 False
ND 1 4 5 H 2 True
ND 1 5 4 H 4 False
ND 1 6 3 C 8 False
ND 1 7 2 R 16 False
ND 1 8 1 R 16 True
ND 1 9 0 R 32 False
ND 1 10 7 C 32 False
ND 1 11 6 H 32 False
ND 1 12 5 H 32 True
ND 2 0 2 R 2 False
ND 2 1 1 R 2 True
ND 2 2 0 R 4 False
ND 2 3 7 C 4 False
ND 2 4 6 H 4 False
ND 2 5 5 H 4 True
ND 2 6 4 H 8 False
ND 2 7 3 C 16 False
ND 2 8 2 R 32 False
ND 2 9 1 R 32 True
ND 2 10 0 R 64 False
ND 2 11 7 C 64 False
ND 2 12 6 H 64 False
ND 3 0 3 C 2 False
ND 3 1 2 R 4 False
ND 3 2 1 R 4 True
ND 3 3 0 R 8 False
ND 3 4 7 C 8 False
ND 3 5 6 H 8 False
ND 3 6 5 H 8 True
ND 3 7 4 H 16 False
ND 3 8 3 C 32 False
ND 3 9 2 R 64 False
ND 3 10 1 R 64 True
ND 3 11 0 R 128 False
ND 3 12 7 C 128 False
ND 4 0 4 H 2 False
ND 4 1 3 C 4 False
ND 4 2 2 R 8 False
ND 4 3 1 R 8 True
ND 4 4 0 R 16 False
ND 4 5 7 C 16 False
ND 4 6 6 H 16 False
ND 4 7 5 H 16 True
ND 4 8 4 H 32 False
ND 4 9 3 C 64 False
ND 4 10 2 R 128 False
ND 4 11 1 R 128 True
ND 4 12 0 R 256 False
ND 5 0 5 H 2 True
ND 5 1 4 H 4 False
ND 5 2 3 C 8 False
ND 5 3 2 R 16 False
ND 5 4 1 R 16 True
ND 5 5 0 R 32 False
ND 5 6 7 C 32 False
ND 5 7 6 H 32 False
ND 5 8 5 H 32 True
ND 5 9 4 H 64 False
ND 5 10 3 C 128 False
ND 5 11 2 R 256 False
ND 5 12 1 R 256 True
ND 6 0 6 H 4 False
ND 6 1 5 H 4 True
ND 6 2 4 H 8 False
ND 6 3 3 C 16 False
ND 6 4 2 R 32 False
ND 6 5 1 R 32 True
ND 6 6 0 R 64 False
ND 6 7 7 C 64 False
ND 6 8 6 H 64 False
ND 6 9 5 H 64 True
ND 6 10 4 H 128 False
ND 6 11 3 C 256 False
ND 6 12 2 R 512 False
ND 7 0 7 C 8 False
ND 7 1 6 H 8 False
ND 7 2 5 H 8 True
ND 7 3 4 H 16 False
ND 7 4 3 C 32 False
ND 7 5 2 R 64 False
ND 7 6 1 R 64 True
ND 7 7 0 R 128 False
ND 7 8 7 C 128 False
ND 7 9 6 H 128 False
ND 7 10 5 H 128 True
ND 7 11 4 H 256 False
ND 7 12 3 C 512 False
ND 8 0 0 R 16 False
ND 8 1 7 C 16 False
ND 8 2 6 H 16 False
ND 8 3 5 H 16 True
ND 8 4 4 H 32 False
ND 8 5 3 C 64 False
ND 8 6 2 R 128 False
ND 8 7 1 R 128 True
ND 8 8 0 R 256 False
ND 8 9 7 C 256 False
ND 8 10 6 H 256 False
ND 8 11 5 H 256 True
ND 8 12 4 H 512 False
ND 9 0 1 R 16 True
ND 9 1 0 R 32 False
ND 9 2 7 C 32 False
ND 9 3 6 H 32 False
ND 9 4 5 H 32 True
ND 9 5 4 H 64 False
ND 9 6 3 C 128 False
ND 9 7 2 R 256 False
ND 9 8 1 R 256 True
ND 9 9 0 R 512 False
ND 9 10 7 C 512 False
ND 9 11 6 H 512 False
ND 9 12 5 H 512 True
ND 10 0 2 R 32 False
ND 10 1 1 R 32 True
ND 10 2 0 R 64 False
ND 10 3 7 C 64 False
ND 10 4 6 H 64 False
ND 10 5 5 H 64 True
ND 10 6 4 H 128 False
ND 10 7 3 C 256 False
ND 10 8 2 R 512 False
ND 10 9 1 R 512 True
ND 10 10 0 R 1024 False
ND 10 11 7 C 1024 False
ND 10 12 6 H 1024 False
ND 11 0 3 C 32 False
ND 11 1 2 R 64 False
ND 11 2 1 R 64 True
ND 11 3 0 R 128 False
ND 11 4 7 C 128 False
ND 11 5 6 H 128 False
ND 11 6 5 H 128 True
ND 11 7 4 H 256 False
ND 11 8 3 C 512 False
ND 11 9 2 R 1024 False
ND 11 10 1 R 1024 True
ND 11 11 0 R 2048 False
ND 11 12 7 C 2048 False
ND 12 0 4 H 32 False
ND 12 1 3 C 64 False
ND 12 2 2 R 128 False
ND 12 3 1 R 128 True
ND 12 4 0 R 256 False
ND 12 5 7 C 256 False
ND 12 6 6 H 256 False
ND 12 7 5 H 256 True
ND 12 8 4 H 512 False
ND 12 9 3 C 1024 False
ND 12 10 2 R 2048 False
ND 12 11 1 R 2048 True
ND 12 12 0 R 4096 False
DG 0 0 0 1 0 R 1 False
DG 0 0 1 2 1 R 1 False
DG 0 0 2 4 3 R 1 False
DG 0 0 3 8 7 R 1 False
DG 0 0 4 16 15 R 1 False
DG 0 1 0 2 0 C 1 False
DG 0 1 1 4 2 C 1 False
DG 0 1 2 8 6 C 1 False
DG 0 1 3 16 14 C 1 False
DG 0 1 4 32 30 C 1 False
DG 0 2 0 4 0 H 1 False
DG 0 2 1 8 4 H 1 False
DG 0 2 2 16 12 H 1 False
DG 0 2 3 32 28 H 1 False
DG 0 2 4 64 60 H 1 False
DG 0 3 0 8 0 H 1 True
DG 0 3 1 16 8 H 1 True
DG 0 3 2 32 24 H 1 True
DG 0 3 3 64 56 H 1 True
DG 0 3 4 128 120 H 1 True
DG 0 4 0 16 0 H 2 False
DG 0 4 1 32 16 H 2 False
DG 0 4 2 64 48 H 2 False
DG 0 4 3 128 112 H 2 False
DG 0 4 4 256 240 H 2 False
DG 0 5 0 32 0 C 4 False
DG 0 5 1 64 32 C 4 False
DG 0 5 2 128 96 C 4 False
DG 0 5 3 256 224 C 4 False
DG 0 5 4 512 480 C 4 False
DG 0 6 0 64 0 R 8 False
DG 0 6 1 128 64 R 8 False
DG 0 6 2 256 192 R 8 False
DG 0 6 3 512 448 R 8 False
DG 0 6 4 1024 960 R 8 False
DG 1 0 0 2 0 R 1 True
DG 1 0 1 4 2 R 1 True
DG 1 0 2 8 6 R 1 True
DG 1 0 3 16 14 R 1 True
DG 1 0 4 32 30 R 1 True
DG 1 1 0 4 0 R 2 False
DG 1 1 1 8 4 R 2 False
DG 1 1 2 16 12 R 2 False
DG 1 1 3 32 28 R 2 False
DG 1 1 4 64 60 R 2 False
DG 1 2 0 8 0 C 2 False
DG 1 2 1 16 8 C 2 False
DG 1 2 2 32 24 C 2 False
DG 1 2 3 64 56 C 2 False
DG 1 2 4 128 120 C 2 False
DG 1 3 0 16 0 H 2 False
DG 1 3 1 32 16 H 2 False
DG 1 3 2 64 48 H 2 False
DG 1 3 3 128 112 H 2 False
DG 1 3 4 256 240 H 2 False
DG 1 4 0 32 0 H 2 True
DG 1 4 1 64 32 H 2 True
DG 1 4 2 128 96 H 2 True
DG 1 4 3 256 224 H 2 True
DG 1 4 4 512 480 H 2 True
DG 1 5 0 64 0 H 4 False
DG 1 5 1 128 64 H 4 False
DG 1 5 2 256 192 H 4 False
DG 1 5 3 512 448 H 4 False
DG 1 5 4 1024 960 H 4 False
DG 1 6 0 128 0 C 8 False
DG 1 6 1 256 128 C 8 False
DG 1 6 2 512 384 C 8 False
DG 1 6 3 1024 896 C 8 False
DG 1 6 4 2048 1920 C 8 False
DG 2 0 0 4 0 R 2 False
DG 2 0 1 8 4 R 2 False
DG 2 0 2 16 12 R 2 False
DG 2 0 3 32 28 R 2 False
DG 2 0 4 64 60 R 2 False
DG 2 1 0 8 0 R 2 True
DG 2 1 1 16 8 R 2 True
DG 2 1 2 32 24 R 2 True
DG 2 1 3 64 56 R 2 True
DG 2 1 4 128 120 R 2 True
DG 2 2 0 16 0 R 4 False
DG 2 2 1 32 16 R 4 False
DG 2 2 2 64 48 R 4 False
DG 2 2 3 128 112 R 4 False
DG 2 2 4 256 240 R 4 False
DG 2 3 0 32 0 C 4 False
DG 2 3 1 64 32 C 4 False
DG 2 3 2 128 96 C 4 False
DG 2 3 3 256 224 C 4 False
DG 2 3 4 512 480 C 4 False
DG 2 4 0 64 0 H 4 False
DG 2 4 1 128 64 H 4 False
DG 2 4 2 256 192 H 4 False
DG 2 4 3 512 448 H 4 False
DG 2 4 4 1024 960 H 4 False
DG 2 5 0 128 0 H 4 True
DG 2 5 1 256 128 H 4 True
DG 2 5 2 512 384 H 4 True
DG 2 5 3 1024 896 H 4 True
DG 2 5 4 2048 1920 H 4 True
DG 2 6 0 256 0 H 8 False
DG 2 6 1 512 256 H 8 False
DG 2 6 2 1024 768 H 8 False
DG 2 6 3 2048 1792 H 8 False
DG 2 6 4 4096 3840 H 8 False
DG 3 0 0 8 0 C 2 False
DG 3 0 1 16 8 C 2 False
DG 3 0 2 32 24 C 2 False
DG 3 0 3 64 56 C 2 False
DG 3 0 4 128 120 C 2 False
DG 3 1 0 16 0 R 4 False
DG 3 1 1 32 16 R 4 False
DG 3 1 2 64 48 R 4 False
DG 3 1 3 128 112 R 4 False
DG 3 1 4 256 240 R 4 False
DG 3 2 0 32 0 R 4 True
DG 3 2 1 64 32 R 4 True
DG 3 2 2 128 96 R 4 True
DG 3 2 3 256 224 R 4 True
DG 3 2 4 512 480 R 4 True
DG 3 3 0 64 0 R 8 False
DG 3 3 1 128 64 R 8 False
DG 3 3 2 256 192 R 8 False
DG 3 3 3 512 448 R 8 False
DG 3 3 4 1024 960 R 8 False
DG 3 4 0 128 0 C 8 False
